Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
208033,Airplane,MINNEAPOLIS-ST PAUL INTL,> 1000 ft,SAAB-340,2 to 10,3,Precautionary Landing,2000-11-13,Caused damage,2,MESABA AIRLINES,Minnesota,Climb,Snow,False,False,"JUST ENTERING CLOUD BASES, STRUCK UNKN # OF BIRDS, LIKELY GEESE. ONE HIT CAPT WINDSHLD, BENDING WIPER OUT OF POSITION. F/O FLEW RET TO ARPT. LANDING LITE BROKEN. STRIKES ON R WNG OTBD OF ENG AND UNDERSIDE OF A/C.",Large,Overcast,Unknown bird - large,N,0,1800,0,No
205109,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,CL-RJ100/200,2 to 10,5,Precautionary Landing,2000-12-13,Caused damage,2,COMAIR AIRLINES,Kentucky,Climb,Rain,False,False,DMG TO NOSE GEAR. FLT 957,Medium,Overcast,Unknown bird - medium,N,0,400,0,No
209544,Airplane,METRO OAKLAND INTL,> 1000 ft,B-737-400,2 to 10,5,Precautionary Landing,2001-03-06,Caused damage,2,ALASKA AIRLINES,California,Climb,Rain,False,False,"RETD TO ARPT AFTER REPORTING A BIRDSTRIKE SHORTLY AFTER DEPTR. NO DMG REPTD. FLT 354. (DATA ENTRY NOTE: 5200-7 FROM OPS SUPV SHOWS #2 ENG DAMAGE).  OCCURRED ""MID BAY"" MINOR DMG TO #2 ENGINE ROTORS/STATORS ALIGNMENT. NEGLIGABLE COST.",Medium,Some Cloud,Unknown bird - medium,Y,0,8000,0,Yes
206608,Airplane,ATLANTA INTL,< 1000 ft,A-320,2 to 10,9,Precautionary Landing,2001-04-13,Caused damage,2,AMERICA WEST AIRLINES,Georgia,Take-off run,Rain,False,False,POSSIBLE STARLINGS. 2 BIRDS WERE INGESTED INTO #1 ENG.,Medium,Some Cloud,Unknown bird - medium,N,0,0,0,No
209838,Airplane,PHILADELPHIA INTL,< 1000 ft,B-737-400,2 to 10,7,Other,2001-08-13,No damage,2,US AIRWAYS*,Pennsylvania,Landing Roll,Rain,False,False,FOG. PREVIOUS ARRIVAL REPTD BIRDS ON RWY. ATC ADZFLT 2178 OF THIS. NO DMG. TIME OUT OF SVC 15 MINS. DATA ENTRY NOTE: TIMES DIFFER ON THE TWO REPTS BY 1 HR. OTHERWISE ALL IS THE SAME.),Medium,Overcast,Ring-billed gull,Y,0,0,0,Yes
208638,Airplane,GREATER PITTSBURGH,< 1000 ft,DORNIER 328,2 to 10,10,Precautionary Landing,2001-11-27,No damage,2,PSA AIRLINES,Pennsylvania,Climb,Rain,True,False,7-8 BIRDS HIT A/C. 1 CARCASS FOUND.,Small,Overcast,Common grackle,N,0,200,0,No
215731,Airplane,JOHN F KENNEDY INTL,< 1000 ft,A-300,2 to 10,10,Aborted Take-off,2002-05-12,Caused damage,2,AMERICAN AIRLINES,New York,Take-off run,Rain,False,False,3 PIGEONS HIT #1 ENG. NO DMG WAS VIZ BUT ENG WILL BE TAKEN APART AND FURTHER INSPCTD. REPLACED PAIR OF FAN BLADES 19/22. TIRES 3 AND 7 DEFLATED. ORIG FLT CHANGED EQUIPMENT AND DEPARTED 3 HRS LATE. (DATE ENTRY NOTE: REPT FROM AIRPORT SHOWED NO DMG.) HIGH S,Small,Overcast,Rock pigeon,Y,0,0,0,No
215316,Airplane,RICHARD LLOYD JONES JR ARPT,< 1000 ft,C-172,2 to 10,6,Precautionary Landing,2002-09-19,No damage,1,BUSINESS,Oklahoma,Climb,Rain,False,False,"BIRDS WERE NOT AROUND WHEN AIRCRAFT WAS TURNED ONTO RWY. AFTER CLEARED FOR T/O, BIRDS FLEW IN FROM BTWN RWYS & LANDED AROUND THE 1000' MARK.",Small,Overcast,Unknown bird - small,N,0,5,0,No
220596,Airplane,SACRAMENTO INTL,< 1000 ft,A-319,2 to 10,3,Precautionary Landing,2003-01-02,Caused damage,2,AMERICA WEST AIRLINES,California,Climb,Fog,False,False,"LARGE, WHITE BIRDS. UNSPECIFIED DMG TO NOSE AND RIGHT UNDER WING.",Large,Some Cloud,Unknown bird - large,Y,0,800,0,No
219757,Airplane,HONOLULU INTL ARPT,< 1000 ft,B-737-200,2 to 10,10,Aborted Take-off,2003-03-15,Caused damage,2,ALOHA AIRLINES,Hawaii,Take-off run,Rain,True,False,"ABORTED T/O DUE TO POSSIBLE BIRDSTRIKE AND RETD TO GATE.  FLOCK OF BIRDS INGESTED INTO #1 ENG. COMPRESSOR STALLED. REMAINS FOUND BY STATE RAMP CONTROL.   (DATA ENTRY NOTE: TIME OF STRIKE DIFFERED, 1 REPT HAD 1124AM, LOCAL TIME,  ANOTHER HAD 1724 PST AND A",Small,Overcast,Pacific golden-plover,N,1482,0,0,Yes
